Дата окончания;Тип документа;Наименование организации;Имя руководителя;Адрес организации;Номер телефона;Почта
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮФТМАСТЕР""";БАЛДИН АНДРЕЙ;127560, РОССИЯ, ГОРОД МОСКВА, УЛИЦА КОНЁНКОВА, ДОМ 8, КВАРТИРА 21;-;-
13.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРЕМИУМ КОФЕ СОЛЮШНЗ""";Ткачук Андрей;-;+7 4993411995;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""60fa8e1a-4fba-4988-9e9f-0e14cc6c79f9"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕРСКАЯ ЧЕБУРКОВА""";ЧЕБУРКОВ АЛЕКСАНДР;606108, РОССИЯ, ОБЛАСТЬ НИЖЕГОРОДСКАЯ, ПАВЛОВСКИЙ РАЙОН, ГОРОД ПАВЛОВО, УЛИЦА ШУТОВА, ДОМ 27;-;-
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛЕБЕЕВСКИЙ ЗАВОД ""АВТОКОМПЛЕКТ""";ВОДОЛАЗСКИЙ СЕРГЕЙ;-;+7 3478653942;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""9c487bfe-6041-48df-8e1b-762622f6460d"")>"
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУХТА ФЭШН ГРУП""""";ЛУХТАНЕН КЕНИ МИКАЕЛ;127473, РОССИЯ, ГОРОД МОСКВА, УЛИЦА КРАСНОПРОЛЕТАРСКАЯ, ДОМ 16, СТРОЕНИЕ 2, ЭТ 4 ПОМ I КОМ 1 (ЧАСТЬ);-;-
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИМПОС ТРЕЙД""";Хлыбов Алексей;-;+7 3512020406;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""a3b60b5b-377b-445a-a802-c535b40004e3"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;-;Вершинин Федор;-;-;-
17.03.2023;Сертификат соответствия требованиям технического регламента Евразийского экономического союза (технического регламента Таможенного союза);"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ АРМАТУРА""";Тимошенко Надежда;-;+7 4956496277;"<selenium.webdriver.remote.webelement.WebElement (session=""5032a4b43e6093c1b930af0d739b9f97"", element=""825461e2-b1b1-4a16-a901-9f06c8eb8026"")>"
17.03.2023;Сертификат соответствия продукции, включенной в Единый перечень продукции Российской Федерации;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЮФТМАСТЕР""";БАЛДИН АНДРЕЙ;127560, РОССИЯ, ГОРОД МОСКВА, УЛИЦА КОНЁНКОВА, ДОМ 8, КВАРТИРА 21;-;-
