Дата окончания;Тип документа;Наименование организации;Имя руководителя;Адрес организации;Номер телефона;Почта
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МР-ТРАЙДИНГ""";МУСТАФАЕВ ФАЙЯЗ;141031, РОССИЯ, Московская область, МЫТИЩИ г.о., П НАГОРНОЕ,  УЛ ЦЕНТРАЛЬНАЯ, ВЛД. 3, СТР. 1 , ЭТАЖ   3   ПОМЕЩ.   33;+7 9285790035;mr.trading2019mfn@gmail.com
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
18.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ДУБРОВКА""";АБАТУРОВА ТАТЬЯНА;129110, РОССИЯ, Г.Москва, ПР-КТ МИРА, Д. 70, Э 1А П III К 2 О 87;+7 9282497666;dubrovka@mail.ru
15.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;-;+7 9035151550;goychafamily@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЙЧЕ ФЭМЭЛИ""";Наджафов Рагиф;107078, Россия, город Москва, Муниципальный Округ Красносельский вн. тер. город, Пер Орликов, дом 5, строение 1а, комната 207    ;+7 9017853324;goychafamily@gmail.com
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КООПЕРАТИВ ЗАРЯ""";Сазонов Дмитрий;-;+7 9324792399;info@kzarya.ru
17.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""ЕМВАЛЕС""";ВЕХОВ СЕРГЕЙ;117321, РОССИЯ, Г.Москва, МУНИЦИПАЛЬНЫЙ ОКРУГ ТЕПЛЫЙ СТАН вн. тер. г.,  УЛ ПРОФСОЮЗНАЯ, Д. 128А, ПОМЕЩ.   233    ;+7 9282497666;emvales@mail.ru
16.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""СОКОЛ""";ГАСЫМОВ МАМЕДАЛИ;117041, РОССИЯ, ГОРОД МОСКВА, УЛ. АДМИРАЛА РУДНЕВА, Д. 4, ЭТ 6 ПОМ XX ОФ 13М;+7 9663117171;grinlogistics@yandex.ru
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
14.03.2023;"Декларация; ТР ТС 021/2011 О безопасности пищевой продукции, ТР ТС 022/2011 Пищевая продукция в части ее маркировки";"""АНТУРИУМ""";Ибрагимов Самед;-;+7 9250352838;info@anturium.org
18.03.2023;"Декларация; ТР ТС 004/2011 О безопасности низковольтного оборудования";"""МЕДЯНА""";ФИОНИК ДМИТРИЙ;194021, РОССИЯ, Г.Санкт-Петербург, УЛ. ХЛОПИНА, Д. 7, К. 4 ЛИТЕР А , ПОМЕЩ. 30Н;+7 9112371759;medyana.trd@gmail.com
17.03.2023;"Декларация; -";"""ПВ""";БАТЫРЕВ ВАДИМ;301234, РОССИЯ, ОБЛАСТЬ ТУЛЬСКАЯ, ЩЕКИНСКИЙ Р-Н, Д КУЗЬМИНО-ДОМОЖИРОВО, УЛ. ШКОЛЬНАЯ, Д. 22, ОФИС 2;+7 9036977969;kuzmino71@mail.ru
